electric_grid_name,line_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
oganda_grid,fa1,al_150,mv,a1,1,0,0,0.56
oganda_grid,fa2,al_150,a1,a2,1,0,0,2.329
oganda_grid,fa3,al_150,a2,a3,1,0,0,2.873
oganda_grid,fa4,al_150,a3,a4,1,0,0,1.147
oganda_grid,fb1,al_185,mv,b1,1,0,0,1.111
oganda_grid,fb2,cu_95,b1,b2,1,0,0,0.191
oganda_grid,fb3,al_185,b2,b3,1,0,0,0.256
oganda_grid,fb4,cu_95,b3,b4,1,0,0,0.460
oganda_grid,fb5,cu_95,b4,b5,1,0,0,0.553
oganda_grid,fb6,al_150,b5,b6,1,0,0,0.511
oganda_grid,fb7,cu_80,b6,b7,1,0,0,0.165
oganda_grid,fb8,cu_80,b7,b8,1,0,0,0.175
oganda_grid,fb9,al_150,b8,b9,1,0,0,0.290
oganda_grid,fb10,al_150,b9,b10,1,0,0,0.35
oganda_grid,fb11,cu_80,b10,b11,1,0,0,0.287
oganda_grid,fb12,al_150,b11,b12,1,0,0,0.208
oganda_grid,fb13,al_150,b10,b13,1,0,0,0.159
oganda_grid,fb14,al_150,b13,b14,1,0,0,0.177
