building_name,weather_type,building_storage_type
tanjongpagar_building_1,singapore_iwec,
tanjongpagar_building_2,singapore_iwec,
tanjongpagar_building_3,singapore_iwec,
tanjongpagar_building_4,singapore_iwec,
tanjongpagar_building_5,singapore_iwec,
tanjongpagar_building_6,singapore_iwec,
tanjongpagar_building_7,singapore_iwec,
tanjongpagar_building_8,singapore_iwec,
tanjongpagar_building_9,singapore_iwec,
tanjongpagar_building_10,singapore_iwec,
tanjongpagar_building_11,singapore_iwec,
tanjongpagar_building_12,singapore_iwec,
tanjongpagar_building_13,singapore_iwec,
tanjongpagar_building_14,singapore_iwec,
tanjongpagar_building_15,singapore_iwec,
tanjongpagar_building_16,singapore_iwec,
tanjongpagar_building_17,singapore_iwec,
tanjongpagar_building_18,singapore_iwec,
tanjongpagar_building_19,singapore_iwec,
tanjongpagar_building_20,singapore_iwec,
tanjongpagar_building_21,singapore_iwec,
tanjongpagar_building_22,singapore_iwec,
