line_type,row,col,resistance,reactance,capacitance
ieee_123node_line_type1,1,1,0.284340164,0.66983981,9.356247846
ieee_123node_line_type1,2,1,0.096934147,0.311742702,-3.019415208
ieee_123node_line_type1,2,2,0.289932519,0.651322903,9.857972825
ieee_123node_line_type1,3,1,0.095380715,0.239166366,-1.150802827
ieee_123node_line_type1,3,2,0.098176892,0.263213491,-1.919378246
ieee_123node_line_type1,3,3,0.286763518,0.661824102,8.895728926
mtx601,1,1,0.4576,1.078,0.0
mtx601,2,1,0.1559,0.5017,0.0
mtx601,2,2,0.4666,1.04828,0.0
mtx601,3,1,0.1535,0.3849,0.0
mtx601,3,2,0.158,0.4236,0.0
mtx601,3,3,0.4615,1.065,0.0
mtx602,1,1,0.4576,1.078,0.0
mtx602,2,1,0.1559,0.5017,0.0
mtx602,2,2,0.4666,1.04828,0.0
hougang_linetype_22,1,1,1.199246401,0.877065436,8.439934918
hougang_linetype_22,2,1,0.144593077,0.400287323,-2.367473688
hougang_linetype_22,2,2,1.190360794,0.8873802,8.085242395
hougang_linetype_22,3,1,0.146581463,0.353622346,-1.549637123
hougang_linetype_22,3,2,0.142169728,0.325474229,-0.980843491
hougang_linetype_22,3,3,1.194213294,0.882906325,7.771919682
hougang_linetype_0.415,1,1,2.099737533,3.182414698,196.8503937
hougang_linetype_0.415,2,1,0.787401575,1.673228346,-65.6168
hougang_linetype_0.415,2,2,2.034120735,3.576115486,196.8503937
hougang_linetype_0.415,3,1,0.820209974,1.213910761,-32.80839895
hougang_linetype_0.415,3,2,0.787401575,1.673228346,-65.6168
hougang_linetype_0.415,3,3,2.099737533,3.182415,196.8503937
hougang_linetype_66,1,1,1.199246401,0.877065436,8.439934918
hougang_linetype_66,2,1,0.144593077,0.400287323,-2.367473688
hougang_linetype_66,2,2,1.190360794,0.8873802,8.085242395
hougang_linetype_66,3,1,0.146581463,0.353622346,-1.549637123
hougang_linetype_66,3,2,0.142169728,0.325474229,-0.980843491
hougang_linetype_66,3,3,1.194213294,0.882906325,7.771919682
singapore_cable_22_copper_300,1,1,0.077,0.108,312.0
singapore_cable_22_copper_300,2,1,0.0,0.0,0.0
singapore_cable_22_copper_300,2,2,0.077,0.108,312.0
singapore_cable_22_copper_300,3,1,0.0,0.0,0.0
singapore_cable_22_copper_300,3,2,0.0,0.0,0.0
singapore_cable_22_copper_300,3,3,0.077,0.108,312.0
singapore_cable_22_copper_300_400amp,1,1,0.077,0.108,312.0
singapore_cable_22_copper_300_400amp,2,1,0.0,0.0,0.0
singapore_cable_22_copper_300_400amp,2,2,0.077,0.108,312.0
singapore_cable_22_copper_300_400amp,3,1,0.0,0.0,0.0
singapore_cable_22_copper_300_400amp,3,2,0.0,0.0,0.0
singapore_cable_22_copper_300_400amp,3,3,0.077,0.108,312.0
